"id";"trail_id";"subtrail_id";"cabin";"start";"end";"distance";"min_time";"max_time";"stage_order";"start_coordinates";"end_coordinates";"description";"img"
1;1;1;"STF Abiskojaure fjällstuga";"Abisko";"Abiskojaure";15.0;4.0;6;1;"68.35792790856468, 18.778095498210057";"68.28620997259428, 18.590903196849162";"<p><em>Abisko till Abiskojaure</em> är en underbar introduktion till det spektakulära fjällandskapet som väntar längs Kungsleden. Denna första etapp inleds i den berömda Abisko Nationalpark, känd för sina dramatiska landskap och som en av de bästa platserna i världen för att skåda norrsken. Vandringen bjuder initialt på en behaglig promenad längs den mäktiga Abiskojåkka, med utsikt över den ikoniska U-formade dalen Lapporten i fjärran.<br><br>
Leden tar vandrare genom lummiga björkskogar, över hängbroar och gradvis in i den mer öppna och avlägsna fjällmiljön. Abiskojaurestugorna, belägna vid de stora, klara sjöarna med samma namn, bjuder på en chans att reflektera över den första dagens äventyr och ladda upp inför fortsatta upplevelser längs leden.
</p>
";"http://localhost:3001/images/kungsleden1.jpg"
2;1;1;"STF Alesjaure Fjällstuga";"Abiskojaure";"Alesjaure";21.0;6.0;8;2;"68.28620997259428, 18.590903196849162";"68.13689529567897, 18.414801615980014";"<p>Sträckan <strong>Abiskojaure till Alesjaure</strong> tar vandraren djupare in i det svenska fjällandskapet, och bjuder på en levande palett av naturupplevelser. Vandringen startar med en svag uppstigning genom terrängen, där den omgivande vegetationen gradvis omvandlas från tätare skog till mer öppen fjällmiljö. Landskapet är präglat av mjuka kullar, skimrande sjöar och åar som korsas med små broar eller vadställen, beroende på vattenflödet.<br><br>
Vandringen till Alesjaure kan vara en utmanande sträcka för vissa, men de mäktiga vyerna över de omkringliggande fjällen och de kristallklara vattnen i de många insjöarna som möter vandraren längs vägen ger rikligt med belöningar. Den magnifika utsikten över Tjäktjavagge-dalen erbjuder dessutom en av de mest fotogeniska platserna längs Kungsleden, med sin breda dal flankerad av mäktiga fjälltoppar.<br><br>
Alesjaurestugorna bjuder på en välkommen paus, där vandrare kan njuta av bastu och förfriskande dopp i den närliggande sjön. Platsen erbjuder också en unik inblick i den samiska kulturen, då området fortfarande är en aktiv del av renbeteslandet, och det finns ofta möjligheter att se renar i närheten eller köpa samiska hantverk</p>
";"http://localhost:3001/images/kungsleden2.jpg"
3;1;1;"STF Tjäktja fjällstuga";"Alesjaure";"Tjäktja";13.0;4.0;5;3;"68.13689529567897, 18.414801615980014";"68.05168144101711, 18.241466533705555";"Alesjaure till Tjäkt etappen presenterar vandrare för den vidsträckta öppna tundran, med en ständigt föränderlig palett av flora under sommarmånaderna. Leden bjuder på gradvisa stigningar och omväxlande terräng, där du kan se renar som betar i det avlägsna, och om du har tur, en skymt av de majestätiska fjällrävarna. Tjäktja Pass, nästa anhalt, markerar en triumferande höjdpunkt där vandrare belönas med en storslagen utsikt över den sydliga vildmarken.";"http://localhost:3001/images/kungsleden3.jpg"
4;1;1;"STF Sälka fjällstuga";"Tjäktja";"Sälka";12.0;3.0;5;4;"68.05168144101711, 18.241466533705555";"67.94667042267874, 18.2826544891596";"Vandringen från Tjäktja till Sälka är känd för sin dramatiska nedstigning från Tjäktja Pass, med en andlös utsikt över dalgången nedanför. Medan vandrare följer den porlande bäcken, kommer du gradvis ner i en lugnande dalgång med den inbjudande Sälka-stugan i hjärtat. Sälka omgärdas av imponerande fjäll, där solnedgångarna ofta målar himlen i pastellfärger, och ger en fridfull paus på denna etapp av resan.";"http://localhost:3001/images/kungsleden1.jpg"
5;1;1;"STF Singi fjällstuga";"Sälka";"Singi";12.0;3.0;4;5;"67.94667042267874, 18.2826544891596";"67.85107955380693, 18.31601056993941";"Leden mellan Sälka och Singi kombinerar den mjuka tundran med en gradvis stigning genom avlägsna fjälldalar. Detta avsnitt är känt för sin tystnad och orörda skönhet, med möjlighet att stanna upp, andas in den friska fjälluften, och uppskatta enkelheten i fjällvandring. När du närmar dig Singi, möts du av den välkomnande synen av trevliga stugor och ett öppet landskap som erbjuder vandrarna en chans att vila och dela historier från vägen.";"http://localhost:3001/images/kungsleden2.jpg"
6;1;1;"STF Kebnekaise Fjällstation";"Singi";"Kebnekaise";15.0;4.0;5;6;"67.85107955380693, 18.31601056993941";"67.8681362615131, 18.620262475984877";"Singi till Kebnekaise subleden är en passage genom varierande landskap som övergår från öppna fjällvidder till de mer dramatiska terrängen runt Sveriges högsta punkt, Kebnekaise. Denna sträcka erbjuder en sista utmaning för dem som önskar bestiga Kebnekaise och stå på landets tak, eller kanske välja den något mindre krävande vägen genom att stanna kvar i dalen och njuta av den omgivande skönheten med en varm kopp te i Kebnekaise Fjällstation.

Observera att dessa texter är fiktiva och syftar till att tjäna som exempel eller inspiration. Varje subled på Kungsleden har sina unika egenskaper och förhållanden, och detaljer bör kontrolleras och valideras mot faktiska rapporter och guider för varje specifik leddel.";"http://localhost:3001/images/kungsleden3.jpg"
7;1;1;"Nikkaluokta (ej STF)";"Kebnekaise";"Nikkaluokta";19.0;5.0;7;7;"67.8681362615131, 18.620262475984877";"67.85116566141235, 19.01508612726498";"";"http://localhost:3001/images/kungsleden1.jpg"
8;1;2;"STF Kebnekaise Fjällstation";"Nikkaluokta";"STF Kebnekaise Fjällstation";19.0;5.0;7;1;"67.85116566141235, 19.01508612726498";"67.8681362615131, 18.620262475984877";"";"http://localhost:3001/images/kungsleden2.jpg"
9;1;2;"STF Singi Fjällstuga";"STF Kebnekaise Fjällstation";"STF Singi Fjällstuga";15.0;4.0;6;2;"67.8681362615131, 18.620262475984877";"67.85107955380693, 18.31601056993941";"";"http://localhost:3001/images/kungsleden3.jpg"
10;1;2;"STF Kaitumjaure Fjällstuga";"STF Singi Fjällstuga";"STF Kaitumjaure Fjällstuga";13.0;4.0;5;3;"67.85107955380693, 18.31601056993941";"67.74712764117817, 18.295938593991444";"";"http://localhost:3001/images/kungsleden1.jpg"
11;1;2;"STF Teusajaure Fjällstuga";"STF Kaitumjaure Fjällstuga";"STF Teusajaure Fjällstuga";9.0;4.0;5;4;"67.74712764117817, 18.295938593991444";"67.6948030558073, 18.15549418342595";"";"http://localhost:3001/images/kungsleden2.jpg"
12;1;2;"STF Teusajaure Fjällstuga";"STF Teusajaure Fjällstuga";"STF Vakkotavare Fjällstuga";15.0;4.0;6;5;"67.6948030558073, 18.15549418342595";"67.58238947564892, 18.10054313918096";"";"http://localhost:3001/images/kungsleden3.jpg"
13;1;2;"STF Saltoluokta fjällstation";"STF Vakkotavare Fjällstuga";"STF Saltoluokta fjällstation";30.0;9.0;11;6;"67.58238947564892, 18.10054313918096";"67.3941305199799, 18.520921731294496";"";"http://localhost:3001/images/kungsleden1.jpg"
14;1;3;"STF Sitojaure Fjällstuga";"STF Saltolukta Fjällstation";"STF Sitojaure Fjällstuga";19.0;6.0;8;1;"67.3941305199799, 18.520921731294496";"67.23164726126019, 18.440959371766123";"";"http://localhost:3001/images/kungsleden2.jpg"
15;1;3;"STF Aktse Fjällstuga";"STF Sitojaure Fjällstuga";"STF Aktse Fjällstuga";10.0;3.0;4;2;"67.23164726126019, 18.440959371766123";"67.14901215563266, 18.305941074954237";"";"http://localhost:3001/images/kungsleden3.jpg"
16;1;3;"STF Pårte Fjällstuga";"STF Aktse Fjällstuga";"STF Pårte Fjällstuga";22.0;7.0;9;3;"67.14901215563266, 18.305941074954237";"67.04298854862925, 17.94302163056488";"";"http://localhost:3001/images/kungsleden1.jpg"
17;1;3;"STF Kvikkjokk Fjällstation";"STF Pårte Fjällstuga";"STF Kvikkjokk Fjällstation";17.0;6.0;8;4;"67.04298854862925, 17.94302163056488";"66.95370348075974, 17.719614910382653";"";"http://localhost:3001/images/kungsleden2.jpg"
18;1;4;"Tsielekjåkkstugan (ej STF)";"STF Kvikkjokk Fjällstation";"Tsielekjåkkstugan";15.0;5.0;7;1;"66.95370348075974, 17.719614910382653";"66.86511108907865, 17.55528463884427";"";"http://localhost:3001/images/kungsleden3.jpg"
19;1;4;"Tält";"Tsielekjåkkstugan";"Piteälven";19.0;7.0;9;2;"66.86511108907865, 17.55528463884427";"66.49514761006643, 17.529867566912973";"";"http://localhost:3001/images/kungsleden1.jpg"
20;1;4;"Tält";"Piteälven";"Gásakláhko";19.0;7.0;7;3;"66.49514761006643, 17.529867566912973";"67.34566, 16.269049";"";"http://localhost:3001/images/kungsleden2.jpg"
21;1;4;"Vuonatjvikens Stugby (ej STF)";"Gásakláhko";"Vuonatjviken";13.0;4.0;6;4;"67.34566, 16.269049";"66.49274751490306, 17.243364606305896";"";"http://localhost:3001/images/kungsleden3.jpg"
22;1;4;"Kyrkans fjällgård Jäkkvik (ej STF, BÅT)";"Vuonatjviken";"Jäckvik";18.0;4.0;6;5;"66.49274751490306, 17.243364606305896";"66.38759446732868, 16.965917873741176";"";"http://localhost:3001/images/kungsleden1.jpg"
23;1;4;"Adolfström stugby (ej STF)";"Jäckvik";"Adolfström";22.0;9.0;10;6;"66.38759446732868, 16.965917873741176";"66.27745065289471, 16.666163286711942";"";"http://localhost:3001/images/kungsleden2.jpg"
24;1;4;"Tält";"Adolfström";"Sjnulttjie raststuga";23.0;7.0;8;7;"66.27745065289471, 16.666163286711942";"66.20986456357241, 16.37724239866723";"";"http://localhost:3001/images/kungsleden3.jpg"
25;1;4;"Tält";"Sjnulttjie raststuga";"Ammarnäs";46.0;14.0;16;8;"66.20986456357241, 16.37724239866723";"65.9603914254623, 16.21200992938912";"";"http://localhost:3001/images/kungsleden1.jpg"
26;1;5;"STF Viterskalet fjällstuga";"Hemavan";"Viterskalet";10.0;3.0;4;1;"65.81744163821124, 15.090945450306906";"65.88507594686634, 15.15855715822199";"";"http://localhost:3001/images/kungsleden2.jpg"
27;1;5;"STF Syter fjällstuga";"Viterskalet";"Syter";12.0;3.0;4;2;"65.88507594686634, 15.15855715822199";"65.89276999435059, 15.396639790667484";"";"http://localhost:3001/images/kungsleden3.jpg"
28;1;5;"STF Tärnasjö fjällstuga";"Syter";"Tärnasjö";14.0;4.0;5;3;"65.89276999435059, 15.396639790667484";"65.98888866132997, 15.497300298703815";"";"http://localhost:3001/images/kungsleden1.jpg"
29;1;5;"STF Serve fjällstuga ";"Tärnasjö";"Serve";14.0;4.0;5;4;"65.98888866132997, 15.497300298703815";"65.97235261057872, 15.764223885579597";"";"http://localhost:3001/images/kungsleden2.jpg"
30;1;5;"STF Aigert fjällstuga";"Serve";"Aigert";19.0;5.0;7;5;"65.97235261057872, 15.764223885579597";"65.94139646279034, 16.09469672437531";"";"http://localhost:3001/images/kungsleden3.jpg"
31;1;5;"STF Ammarnäs Wärdshus hotell och vandrarhem";"Aigert";"Ammarnäs";8.0;2.0;3;6;"65.94139646279034, 16.09469672437531";"65.9603914254623, 16.21200992938912";"";"http://localhost:3001/images/kungsleden1.jpg"
32;8;0;"Storulvån";"Storulvån";"Sylarna";16.0;5.0;7;1;"63.169066325663366, 12.362953539094129";"63.04256156338671, 12.273469759898415";"";"http://localhost:3001/images/jamtland.jpeg"
33;8;0;"Sylarna";"Sylarna";"Blåhammaren";19.0;6.0;8;2;"63.04256156338671, 12.273469759898415";"63.18605462600171, 12.173820214105168";"";"http://localhost:3001/images/jamtland.jpeg"
34;8;0;"Blåhammaren";"Blåhammaren";"Storulvån";12.0;4.0;5;3;"63.18605462600171, 12.173820214105168";"63.169066325663366, 12.362953539094129";"";"http://localhost:3001/images/jamtland.jpeg"
39;3;0;"Helags Fjällstation";"Kläppen";"Helags Fjällstation";14.0;4.0;6;1;"62.9396,12.5110";"62.9835,12.5110";"";"http://localhost:3001/images/jamtland.jpeg"
40;3;0;"Helags Fjällstation";"Helags Fjällstation";"Helags Topp";10.0;3.0;5;2;"62.9835,12.5110";"62.9814,12.4951";"";"http://localhost:3001/images/jamtland.jpeg"
